Issuer_id,Week_1_,Week_2_,Week_3_,Week_4_,Week_5_,Week_6_,Weekend_1_,Weekend_2_,Weekend_3_,Weekend_4_,Weekend_5_,Weekend_6_
355212,761,1198,846,46,924,0,119,284,80,0,108,0
355218,1005,1058,136,1,156,1,162,730,157,1,128,0
358857,0,2026,275,282,794,4,10,339,127,24,117,0
358204,0,2650,175,153,383,28,0,147,26,6,55,0
357338,6,2933,467,262,679,0,0,382,22,194,363,0
357086,37,3075,295,404,732,1,1,763,34,55,248,2
330291,1221,1045,558,1,143,1,283,328,127,0,145,1
350423,17,1050,135,0,1826,0,1,262,19,0,523,0
350424,10,2093,247,4,321,143,11,105,5,0,17,1
350425,724,751,430,10,504,55,97,81,19,0,81,4
346409,33,1570,443,28,746,0,0,49,11,0,15,0
330692,234,2174,425,86,653,0,2,512,88,13,143,0
355453,274,1955,851,25,591,1,45,200,111,0,73,1
355156,1211,1249,83,6,106,0,134,889,71,10,124,1
349570,2873,1625,463,24,516,4,550,259,83,9,194,0
342966,31,3612,531,0,100,0,0,150,29,0,2,0
349576,0,1054,187,755,1266,19,0,138,22,101,404,1
352036,990,1566,427,28,614,0,219,720,98,3,204,0
357771,0,3050,344,31,205,16,0,192,66,0,62,0
356964,0,2627,236,79,145,0,3,13,4,0,8,0
358126,789,711,22,1149,1218,0,22,39,1,175,361,0
358128,128,1454,397,1059,1827,0,1,235,58,89,365,0
355205,865,1115,62,578,997,0,0,558,11,4,98,0
359336,6,211,77,462,623,0,0,24,7,35,142,0
346330,76,3219,274,1,199,7,115,698,49,0,117,0
358607,1,1438,168,321,948,71,4,49,3,8,50,3
350433,1765,1473,254,5,744,0,298,516,47,1,202,0
358603,0,1673,361,492,951,13,3,238,110,42,179,0
358214,0,2404,221,236,518,1,0,142,25,6,40,0
358608,365,1561,152,532,663,0,0,295,29,128,192,0
331510,5,2655,404,51,201,0,0,34,3,1,2,0
350439,28,950,98,4,670,1,0,16,3,0,32,0
355619,48,1716,1047,48,297,73,1,182,59,1,19,23
355492,763,694,411,1,197,6,0,0,0,0,0,0
355050,349,1162,947,45,675,5,44,171,99,1,46,0
341298,4,1565,329,300,1013,14,0,0,0,0,0,0
357073,6,916,242,972,1380,9,93,83,32,116,531,1
356484,0,1037,837,239,1823,4,71,145,119,22,329,0
347687,21,4103,736,0,256,0,0,540,162,0,128,0
355113,836,1057,73,707,1420,0,23,435,32,103,487,0
355446,0,1059,446,341,2037,0,0,174,46,29,311,0
355117,817,1270,571,4,466,2,0,235,56,0,47,0
356356,795,1240,1005,42,548,2,0,0,0,0,0,0
348566,0,2124,393,14,343,3,0,54,27,1,12,0
333386,1738,808,230,3,168,0,176,126,12,0,103,0
355567,20,1916,467,122,492,0,3,478,52,35,152,0
351929,0,1904,210,239,651,1,0,941,46,100,369,0
358119,0,2939,362,106,233,92,0,199,48,18,56,0
358847,37,1642,173,546,697,0,4,617,26,207,246,0
351280,1011,1514,567,4,234,78,57,361,45,1,85,14
346346,374,2821,464,399,885,0,3,317,50,26,119,0
356522,0,399,189,713,914,7,60,287,50,109,449,0
358194,473,2298,356,893,1359,0,7,389,70,65,219,0
358617,0,793,144,969,1231,8,1,455,30,201,542,4
356565,1133,817,314,131,811,0,6,244,59,22,404,0
341943,0,1025,302,295,904,32,0,368,96,89,297,7
358594,0,1360,477,775,1500,53,21,178,87,159,388,3
357724,95,1618,525,774,1095,0,2,290,69,52,244,0
355283,768,2474,388,11,397,0,16,203,41,10,90,0
358873,0,1333,382,294,615,23,0,167,48,14,62,1
356314,314,333,40,1953,1423,0,0,309,22,298,608,0
340051,33,3542,464,0,53,0,0,672,170,0,13,0
345221,1914,1908,180,35,297,0,43,181,30,0,35,0
353424,763,2057,227,6,222,0,24,298,30,8,64,0
356259,6,1330,119,63,346,0,0,1097,34,11,143,0
355144,42,1988,672,21,909,0,9,228,47,0,55,0
355145,0,1966,158,436,569,93,0,941,24,87,253,12
357751,0,1807,497,521,833,40,0,163,21,91,155,33
330001,107,2459,413,4,124,0,1,923,76,1,44,0
357802,0,1718,360,314,482,3,0,80,32,6,40,0
358187,0,1546,211,464,639,0,0,45,6,94,261,0
351274,17,3712,732,14,428,0,0,427,107,1,39,0
345331,1355,1004,195,0,363,29,214,293,52,0,199,10
356214,901,619,47,845,1204,0,36,94,8,20,268,0
357360,0,3310,135,738,808,0,5,450,22,224,365,0
349850,2332,906,300,1,412,28,292,206,44,0,171,11
346105,2118,1894,496,101,635,0,127,362,50,1,172,1
347593,1366,1621,241,23,218,0,31,244,30,0,50,0
355677,258,566,76,1287,1181,0,0,612,19,294,402,0
354084,2,2031,501,324,947,0,112,436,37,30,361,0
355675,81,812,386,475,1783,0,115,118,81,33,298,0
346109,0,2132,537,18,489,3,0,104,30,0,44,0
345536,17,830,154,5,107,0,1,361,80,1,27,0
349481,79,2870,392,318,782,0,2,319,25,17,65,0
345560,1408,1379,530,0,215,0,83,183,29,0,53,0
348520,0,1810,120,2,202,0,0,0,0,0,0,0
344778,1937,1506,244,4,170,0,277,1229,92,2,197,0
351997,2019,1038,334,2,538,1,223,310,55,0,213,0
353486,4,1680,125,1,304,43,0,101,13,0,8,2
351995,191,2031,407,50,389,4,26,934,168,30,353,3
355497,116,688,648,304,1647,0,29,92,77,31,257,0
357078,83,799,410,513,1674,0,62,100,83,73,326,0
357721,9,1794,308,49,217,20,0,129,6,1,17,1
357689,0,27,7,31,66,0,0,7,2,6,10,0
358579,2,2299,128,259,469,0,2,181,11,114,235,0
349538,98,2426,111,130,483,0,0,190,20,20,237,0
337778,399,637,406,705,1043,5,4,171,48,98,333,0
333163,11,1699,603,1,197,1,0,482,205,0,48,0
358570,1,2244,239,538,926,2,6,413,101,54,186,0
353164,0,1513,134,277,441,11,0,767,79,124,276,8
356304,0,1752,661,642,1866,12,53,308,114,121,406,1
354098,2129,1734,174,17,238,0,194,937,51,8,197,0
351919,0,1608,186,664,937,3,1,78,27,54,93,0
353408,627,739,284,4,216,1,33,165,55,1,141,0
331220,363,1086,345,89,735,0,9,263,58,2,29,0
333733,0,1791,279,331,692,140,0,164,23,26,73,23
347674,1216,1092,161,0,203,0,305,568,48,0,130,0
352070,56,747,253,549,1066,0,0,183,42,105,245,0
347489,2168,2562,130,29,211,0,229,1291,63,4,206,0
355080,262,943,976,0,1296,0,0,36,37,0,43,0
358948,17,1440,443,579,1449,15,2,174,53,45,170,0
352992,65,1396,596,169,297,0,242,236,33,0,128,0
355451,753,1846,217,8,326,0,15,168,15,10,36,0
355546,12,1243,276,49,214,138,4,308,57,14,46,25
355134,1153,2203,251,11,250,0,165,685,33,0,169,1
353176,584,488,28,366,498,0,248,269,16,15,159,0
345238,842,1325,748,89,560,0,93,364,69,13,99,0
357735,82,2976,612,97,386,0,0,570,107,13,77,0
357068,880,1375,546,21,503,16,0,0,0,0,0,0
357736,173,1573,755,672,1268,0,47,422,190,101,248,0
355710,1304,1599,271,110,611,0,20,328,76,18,191,1
358892,15,1662,288,538,917,5,0,164,25,1,26,0
352079,895,2086,292,3,235,46,81,715,39,9,222,0
353070,213,2318,336,412,685,0,11,460,113,16,59,0
355417,450,1108,118,874,1199,0,5,642,76,104,450,0
358623,6,3026,446,451,732,34,17,474,100,4,92,0
354125,157,1259,92,921,1463,0,7,137,16,130,278,0
355639,8,2029,402,31,282,0,0,78,12,1,6,0
354043,787,584,12,1181,1115,0,0,70,1,133,187,0
358936,0,807,235,802,1142,26,0,111,25,182,366,8
341980,0,2556,123,15,149,0,9,243,40,1,30,4
356181,17,2643,338,9,496,39,1,237,33,4,29,1
358863,0,1731,140,415,541,6,0,154,14,138,257,9
356959,0,1297,609,84,405,0,0,120,67,9,52,0
357700,0,2588,357,31,266,18,0,363,96,0,48,0
357701,22,797,97,927,1361,0,0,452,39,132,396,0
352950,11,3273,359,14,223,18,0,275,69,0,44,0
355073,563,1589,909,29,828,0,61,281,52,1,74,0
358228,0,1148,868,65,459,1,0,197,158,9,94,0
357783,0,1588,631,802,1929,115,226,368,174,57,453,0
353069,257,698,127,1211,1289,0,36,47,14,154,446,0
355642,0,563,420,998,1875,0,18,86,50,176,354,0
350407,144,1935,635,6,720,48,2,328,118,0,97,0
355438,0,1488,420,494,1558,23,5,237,50,38,346,1
357113,46,1885,266,111,491,0,10,220,35,11,118,0
350401,10,2549,423,15,479,5,4,276,48,0,46,0
355530,74,1602,386,514,965,37,0,91,9,8,6,4
356518,427,1184,225,617,1032,16,5,183,45,25,315,0
355532,11,756,504,178,656,4,0,261,107,8,79,13
356352,509,2321,288,4,126,127,0,395,73,4,43,0
356512,0,1958,223,196,357,0,0,859,50,51,147,0
355538,119,2451,482,593,1352,17,0,15,3,0,8,2
353508,1,1510,462,351,1568,28,41,1103,124,21,270,0
355224,0,1158,932,538,1121,0,13,185,86,133,354,0
358944,2,1610,274,664,875,5,0,215,60,48,122,0
355220,34,1987,356,50,857,0,30,1074,53,12,184,1
330198,1624,1096,210,156,665,0,58,556,27,42,295,0
357088,1,964,168,914,1011,1,0,684,76,229,480,1
356261,983,1695,172,245,679,0,6,301,21,9,113,0
356262,106,1521,487,165,1621,1,116,370,56,14,415,2
352946,11,1118,1306,8,120,1,0,9,13,0,0,0
355588,1,938,367,6,249,9,0,239,42,0,40,0
345275,6,2072,982,0,664,0,2,979,316,1,188,0
351239,0,1430,830,17,194,17,9,227,98,5,52,0
343918,1341,1354,316,0,338,0,156,267,30,0,42,0
356225,248,2872,360,126,544,0,5,827,103,11,112,0
355428,0,1065,154,147,165,11,0,263,22,12,19,1
357792,201,1421,730,643,2393,17,66,246,114,44,277,4
354205,0,1980,261,343,908,83,0,286,90,27,218,8
358117,1,1549,730,370,804,0,0,345,104,100,309,0
358600,0,2124,352,398,592,0,0,675,48,177,275,0
353194,831,2068,630,0,165,0,30,171,74,0,36,0
346381,0,1879,161,205,612,3,17,901,60,58,197,16
