SummonsNumber,IssueDate,ViolationCode,ViolationTime,HouseNumber,StreetName,StreetAddress,City,State
7097864163,41641,19,0842A,274,W 145th St,274 W 145th St,New York,New York
7097864096,41641,20,0608A,164,W 136th St,164 W 136th St,New York,New York
7097864199,41641,38,0917A,20,W 135th St,20 W 135th St,New York,New York
7097864126,41641,14,0745A,638-644,W 132nd St,638-644 W 132nd St,New York,New York
7097864138,41641,14,0750A,624,W 132nd St,624 W 132nd St,New York,New York
7097864151,41641,14,0753A,622,W 132nd St,622 W 132nd St,New York,New York
7097864140,41641,14,0752A,622,W 132nd St,622 W 132nd St,New York,New York
7097864229,41641,38,0952A,317,W 125th St,317 W 125th St,New York,New York
7097864242,41641,16,1007A,525,W 125th St,525 W 125th St,New York,New York
7097864059,41641,40,0530A,157,W 111th St,157 W 111th St,New York,New York
7097864072,41641,19,0543A,259,W 97th St,259 W 97th St,New York,New York
7097864084,41641,20,0546A,251,W 97th St,251 W 97th St,New York,New York
7097864217,41641,37,0946A,321,St Nicholas Ave,321 St Nicholas Ave,New York,New York
7097864060,41641,14,0538A,101,Manhattan Ave,101 Manhattan Ave,New York,New York
7097864175,41641,46,0850A,653,Lenox Ave,653 Lenox Ave,New York,New York
7097864187,41641,46,0916A,,Lenox Ave, Lenox Ave,New York,New York
7097864102,41641,10,0706A,903,Columbus Ave,903 Columbus Ave,New York,New York
7097864254,41641,19,1044A,2840,Broadway,2840 Broadway,New York,New York
7097864114,41641,19,0727A,2427,Broadway,2427 Broadway,New York,New York
7097864205,41641,50,0934A,2407,Frederick Douglass B,2407 Frederick Douglass B,New York,New York
7097864230,41641,17,0955A,2346,Frederick Douglass B,2346 Frederick Douglass B,New York,New York
