violation_code,count
1,3
3,3
4,427
5,2
7,2
8,1621
9,3662
10,14920
11,2153
12,4
13,14903
14,326080
15,18
16,108194
17,32170
18,8839
19,57300
20,116424
21,166861
22,5
23,1204
24,4045
25,5
26,74
27,163
28,2
31,112114
32,33
33,3
34,101
35,3707
36,1
37,162725
38,230269
39,2364
40,83006
41,278
42,56160
43,267
44,12
45,6540
46,86321
47,75444
48,20654
49,199
50,12206
51,9592
52,140
53,9667
54,1
55,1
56,1
57,6
58,6
59,108
60,2059
61,1172
62,246
63,1
64,9345
65,4
66,1060
67,1357
68,647
69,170409
70,25536
71,55905
72,491
73,880
74,8202
75,689
76,3
77,4392
78,32
79,131
80,55
81,66
82,14074
83,3031
84,26473
85,30
86,3
88,1
89,1921
90,1
91,7
92,11
94,1
95,29
96,1
97,25
98,707
99,32
